transaction_id,ts_event,card_hash,merchant_id,amount,currency,auth_result,location,reason,created_at
TXNBAD04EC85D9A,2025-11-04 12:46:06.185052,96a3ecc708014525,M83563,3977.55,JPY,DECLINED,"New Roberttown, Bermuda",decline_rate,2025-11-04 14:41:06.010656
TXNB4AB3F7CFF21,2025-11-04 12:46:06.196438,75ca02d98db2487a,M30926,13963.09,GBP,APPROVED,"East William, Anguilla",high_amount,2025-11-04 14:41:06.010656
TXNB66A70FC16CC,2025-11-04 12:46:06.207472,609e4164871e4c2d,M23396,1855.82,USD,DECLINED,"Lake Debra, Mayotte",decline_rate,2025-11-04 14:41:06.010656
TXN4EB6E6C66CE2,2025-11-04 12:46:06.218249,19774d834d054fe9,M80284,2497.4,JPY,DECLINED,"Robinsonshire, Fiji",decline_rate,2025-11-04 14:41:06.010656
TXNF86F766FB2BE,2025-11-04 12:46:06.240478,c126ec9a13384e7d,M40512,17329.81,JPY,DECLINED,"Ericmouth, Bosnia and Herzegovina","high_amount,decline_rate",2025-11-04 14:41:06.010656
TXNB171326161B7,2025-11-04 12:46:06.251333,0a01a4c2f2f04067,M37460,13403.83,USD,APPROVED,"South Colinstad, Netherlands",high_amount,2025-11-04 14:41:06.010656
TXN52D02C576CC2,2025-11-04 12:46:06.262822,691d15ad4966424a,M45382,19790.48,EUR,APPROVED,"Lindsaymouth, Mauritania",high_amount,2025-11-04 14:41:06.010656
TXNE65611A2F67F,2025-11-04 12:46:06.273734,03c2e39990dc4824,M62581,5355.55,EUR,DECLINED,"South Christianport, Switzerland",decline_rate,2025-11-04 14:41:06.010656
TXNF94D8D9DE35B,2025-11-04 12:46:06.284458,4bd4bb90933d489d,M28726,5298.34,EUR,DECLINED,"Barbaraland, Aruba",decline_rate,2025-11-04 14:41:06.010656
TXNB8E25DDA9003,2025-11-04 12:46:06.306592,8e25ad773f81499c,M92240,3200.48,JPY,DECLINED,"Port Craig, Fiji",decline_rate,2025-11-04 14:41:06.010656
TXNF7C52E1A505D,2025-11-04 12:46:06.317393,3e7a855c505a432d,M79352,5029.03,USD,DECLINED,"Reidstad, Central African Republic",decline_rate,2025-11-04 14:41:06.010656
TXN6AEB80C4DC54,2025-11-04 12:46:06.329421,32391a2b2bd148d5,M24621,5870.71,EUR,DECLINED,"Michaelview, Reunion",decline_rate,2025-11-04 14:41:06.010656
TXN036A67B9C960,2025-11-04 12:46:06.340299,d31973919e78430b,M76542,18252.64,GBP,DECLINED,"New Cynthiaside, Saint Lucia","high_amount,decline_rate",2025-11-04 14:41:06.010656
TXN1E8A37FC804F,2025-11-04 12:46:06.351087,f552512cbbdd4126,M88504,6483.8,USD,DECLINED,"East Steven, Faroe Islands",decline_rate,2025-11-04 14:41:06.010656
TXNC57AFBE7CA7C,2025-11-04 12:46:06.362236,09b07b61770d40c7,M84364,18939.04,USD,APPROVED,"Lake Mark, Seychelles",high_amount,2025-11-04 14:41:06.010656
TXNAE4B3AAE8869,2025-11-04 12:46:06.383895,217f56b8642d4078,M98039,12997.91,JPY,APPROVED,"Carlshire, Turkey",high_amount,2025-11-04 14:41:06.010656
TXNEBB7B43F08B7,2025-11-04 12:46:06.395209,a54cfecc95284857,M12757,11766.59,EUR,APPROVED,"Jasonfort, Indonesia",high_amount,2025-11-04 14:41:06.010656
TXN08FAAF6B8B89,2025-11-04 12:46:06.417245,9d0fab10dcaa4416,M38080,10785.14,JPY,DECLINED,"Juliechester, Ukraine","high_amount,decline_rate",2025-11-04 14:41:06.010656
TXNFBF1EC4261EA,2025-11-04 12:46:06.460163,9e2415bb43734d76,M16630,13043.25,USD,APPROVED,"South Patrickmouth, Marshall Islands",high_amount,2025-11-04 14:41:06.010656
TXNCA2A41F522CC,2025-11-04 12:46:06.471481,4819a740a13343f8,M38016,17293.14,USD,APPROVED,"Tashatown, Pitcairn Islands",high_amount,2025-11-04 14:41:06.010656
TXNC18A2ABA2866,2025-11-04 12:46:06.483527,5c75cd0fdda24d01,M69638,5705.7,JPY,DECLINED,"Lake Nicoleview, Seychelles",decline_rate,2025-11-04 14:41:06.010656
TXN31188637DB40,2025-11-04 12:46:06.495510,abfbd8dd28714e13,M85914,14715.01,USD,APPROVED,"Danielchester, Cayman Islands",high_amount,2025-11-04 14:41:06.010656
TXNB689C5E5B0BD,2025-11-04 12:46:06.506765,8f521ad2842a4b5d,M17455,19215.62,USD,APPROVED,"Smithview, Macao",high_amount,2025-11-04 14:41:06.010656
