transaction_id,ts_event,card_hash,merchant_id,amount,currency,mcc,channel,auth_result,location
TXN1,2025-11-04T09:00:00Z,cardA,M10001,25.50,USD,5411,POS,APPROVED,"New York, USA"
TXN2,2025-11-04T09:00:10Z,cardA,M10001,30.00,USD,5411,POS,APPROVED,"New York, USA"
TXN3,2025-11-04T09:00:20Z,cardA,M10002,15.00,USD,5812,WEB,DECLINED,"New York, USA"
TXN4,2025-11-04T09:01:00Z,cardB,M10003,15000.00,USD,5411,POS,APPROVED,"Los Angeles, USA"
TXN5,2025-11-04T09:05:00Z,cardC,M99999,200.00,EUR,5999,WEB,APPROVED,"Berlin, Germany"
TXN6,2025-11-04T09:07:00Z,cardC,M10004,50.00,EUR,5814,MOBILE,APPROVED,"Paris, France"
TXN7,2025-11-04T09:08:00Z,cardC,M10004,40.00,EUR,5814,MOBILE,DECLINED,"Paris, France"
TXN8,2025-11-04T09:09:00Z,cardC,M10004,60.00,EUR,5814,MOBILE,DECLINED,"Paris, France"
TXN9,2025-11-04T09:10:00Z,cardC,M10004,70.00,EUR,5814,MOBILE,DECLINED,"Paris, France"
TXN10,2025-11-04T09:11:00Z,cardC,M10004,80.00,EUR,5814,MOBILE,DECLINED,"Paris, France"
TXN11,2025-11-04T09:12:00Z,cardC,M10004,90.00,EUR,5814,MOBILE,DECLINED,"Paris, France"
TXN12,2025-11-04T09:13:00Z,cardD,M10005,500.00,USD,5411,POS,APPROVED,"Toronto, Canada"
TXN13,2025-11-04T09:14:00Z,cardD,M10005,600.00,USD,5411,POS,APPROVED,"New York, USA"
TXN14,2025-11-04T09:15:00Z,cardE,,100.00,USD,5411,POS,APPROVED,"Unknown"
